Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Green Crack (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.014,0.0,0.0,0.014,0.038,0.359,0.0,0.116,0.558,,0.143,0.06,0.0,0.0,,1.54,0.01,18.26,0.01,0.0,0.06,0.0,0.0,0.0,0.11,0.04,0.04,
,Strawberry Chunk (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.0,0.01,0.0,0.011,0.058,0.011,0.0,0.053,0.0,0.141,0.046,0.192,0.0,0.115,1.032,,0.116,0.136,0.0,0.0,,0.74,0.03,15.08,0.04,0.0,0.05,0.0,0.01,0.0,0.58,0.02,0.02,
,Holy Banana (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.006,0.001,0.0,0.0,0.0,0.0,0.015,0.043,0.0,0.011,0.051,0.097,0.0,0.195,0.162,,0.081,0.326,0.0,0.0,,0.67,0.02,23.06,0.01,0.02,0.07,0.0,0.0,0.0,0.3,0.08,0.0,
,Biofuel (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.005,0.02,0.0,0.015,0.126,0.0,0.059,0.0,0.0,0.068,0.3,0.022,0.0,0.701,0.913,,0.046,0.217,0.0,0.0,,0.55,0.03,21.56,0.03,0.0,0.07,0.0,0.0,0.0,0.37,0.09,0.05,
,Lemon Tree (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.002,0.022,0.0,0.029,0.0,0.0,0.189,0.04,0.0,0.238,0.197,0.31,0.0,0.606,0.627,,0.106,0.137,0.0,0.0,,4.42,0.0,15.39,0.03,0.01,0.05,0.0,0.0,0.0,0.29,0.1,0.1,
,Black Lime C (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.005,0.009,0.0,0.0,0.0,0.0,0.046,0.0,0.0,0.0,0.05,0.657,0.0,0.179,0.361,,0.132,0.17,0.0,0.0,,0.8,0.03,11.74,0.02,0.0,0.07,0.0,0.0,0.0,0.46,0.06,0.05,
,Malawi Cheese (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.01,0.023,0.005,0.012,0.0,0.0,0.106,0.0,0.0,0.122,0.275,0.03,0.0,0.66,0.391,,0.058,0.271,0.0,0.0,,0.43,0.03,21.68,0.02,0.0,0.08,0.0,0.0,0.0,0.47,0.12,0.07,
,24K (SH-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.009,0.023,0.0,0.0,0.138,0.0,0.081,0.0,0.0,0.102,0.145,0.696,0.0,0.454,1.92,,0.308,0.268,0.0,0.0,,2.52,0.04,21.34,0.04,0.0,0.09,0.0,0.01,0.0,1.91,0.11,0.05,
,Orange Cashmere (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.01,0.021,0.0,0.0,0.0,0.0,0.147,0.0,0.0,0.117,0.178,0.045,0.0,0.575,0.059,,0.083,0.413,0.0,0.0,,0.5,0.03,26.98,0.01,0.0,0.09,0.0,0.0,0.0,0.77,0.15,0.05,
,Girl Scout Cookies (SG-hyb),"Flower, Inhalable",2016-11-11,,433,,,,,,0.0,0.011,0.025,0.0,0.001,0.002,0.0,0.13,0.003,0.009,0.111,0.406,0.04,0.0,1.004,0.158,,0.075,0.52,0.0,0.0,,1.04,0.05,23.16,0.02,0.0,0.08,0.0,0.0,0.0,0.83,0.08,0.06,
