Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content
,Rove OG (Purple),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.014,0.0,0.526,0.016,0.0,0.914,0.0,0.0,0.03,0.092,0.0,0.0,0.826,1.126,,0.0,1.416,0.0,0.0,,70.05,0.0,0.16,0.51,1.92,0.0,2.69,0.0,0.0,0.0,3.16,1.82,
,Rove Kush (Dark Blue),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.015,0.0,0.0,0.015,0.0,0.648,0.0,0.0,0.029,0.126,0.0,0.0,1.16,0.937,,0.0,0.93,0.0,0.0,,69.46,0.0,0.15,0.5,1.89,0.0,2.65,0.02,0.0,0.0,3.12,1.8,
,Rove Haze (Orange),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.011,0.0,0.0,0.012,0.0,0.653,0.0,0.0,0.023,0.055,0.635,0.0,0.477,0.693,,0.142,1.885,0.0,0.0,,69.93,0.0,0.18,0.51,1.8,0.0,2.66,,0.0,0.0,3.14,1.84,
,Rove Cookies (Green),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.013,0.0,0.0,0.012,0.0,0.663,0.0,0.0,0.02,0.194,0.21,0.0,1.812,0.275,,0.042,1.646,0.0,0.008,,70.58,0.0,0.16,0.51,1.83,0.0,2.72,,0.0,0.0,3.15,2.09,
,Rove Dream (Red),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.014,0.0,0.0,0.014,0.0,0.03,0.0,0.005,0.026,0.062,0.782,0.0,0.547,2.031,,0.434,0.011,0.0,0.0,,69.91,0.0,0.19,0.5,2.08,0.0,2.65,,0.0,0.0,3.14,1.81,
,Rove Sherbet (Light Blue),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.014,0.005,0.008,0.013,0.01,0.602,0.0,0.148,0.024,0.176,0.166,0.004,1.63,0.235,,0.035,1.704,0.141,0.024,,69.4,0.0,0.18,0.5,1.97,0.0,2.66,,0.0,0.0,3.14,1.81,
,Rove Ape (Gray),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.014,0.0,0.0,0.015,0.0,0.051,0.0,0.0,0.026,0.048,0.536,0.0,0.408,2.36,,0.198,0.285,0.0,0.0,,70.97,0.0,0.19,0.53,2.13,0.0,2.71,,0.0,0.0,3.18,1.84,
,Rove Waui,"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.011,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.014,0.009,,0.0,0.482,0.0,0.0,,70.05,0.0,0.16,0.49,2.03,0.0,2.65,,0.0,0.0,3.17,1.81,
,Rove Glue (Light Green),"Concentrate, Inhalable",2017-06-06,,604,,,,,,0.0,0.0,0.014,0.0,0.0,0.013,0.004,0.477,0.0,0.243,0.023,0.164,0.113,0.0,1.535,0.996,,0.231,1.484,0.0,0.0,,70.57,0.0,0.16,0.53,2.05,0.0,2.68,,0.0,0.0,3.16,1.83,
,Lemon Meringue OG,"Flower, Inhalable",2017-06-07,,206,,,,,,0.0,0.008,0.004,0.0,0.0,0.034,0.0,0.241,0.001,0.007,0.021,0.045,0.03,0.0,0.154,2.068,,0.066,0.334,0.0,0.0,,0.48,0.0,26.05,0.0,0.0,0.09,0.0,0.0,0.0,0.11,0.1,0.0,
,Future Berries,"Flower, Inhalable",2017-06-07,,206,,,,,,0.0,0.006,0.006,0.0,0.007,0.0,0.0,0.068,0.207,0.002,0.022,0.054,0.291,0.0,0.192,1.51,,0.093,0.118,0.0,0.0,,1.12,0.0,19.78,0.0,0.0,0.05,0.0,0.0,0.0,0.22,0.08,0.0,
,GSC Terp Syrup,"Concentrate, Inhalable",2017-06-07,,126,,,,,,0.0,0.0,0.308,0.0,0.0,0.0,0.0,0.588,0.0,0.0,0.554,2.47,0.136,0.0,6.239,0.391,,0.198,1.191,0.0,0.0,,20.4,0.0,22.12,0.0,0.13,0.19,0.0,0.0,0.0,1.91,0.49,1.09,
,Lucky Charms 2,"Flower, Inhalable",2017-06-07,,429,,,,,,0.0,0.011,0.017,0.0,0.004,0.004,0.0,0.145,0.0,0.003,0.079,0.193,0.039,0.0,0.627,0.148,,0.071,0.317,0.0,0.0,,0.51,0.0,26.39,0.0,0.0,0.08,0.0,0.0,0.0,1.18,0.11,0.0,
,Cooper Rhyno,"Flower, Inhalable",2017-06-07,,429,,,,,,0.039,0.002,0.004,0.003,0.0,0.072,0.0,0.025,0.004,0.197,0.008,0.022,0.106,0.008,0.07,0.211,,0.05,0.051,0.007,0.0,,1.8,0.0,3.13,0.0,0.02,9.54,1.4,0.0,0.0,0.56,0.11,0.11,
,C. Thai,"Flower, Inhalable",2017-06-07,,429,,,,,,0.0,0.003,0.01,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.03,0.114,0.173,0.0,0.329,1.237,,0.086,0.027,0.0,0.0,,0.51,0.0,21.06,0.0,0.0,0.04,0.0,0.0,0.0,0.2,0.08,0.0,
,NYC Diesel,"Flower, Inhalable",2017-06-07,,429,,,,,,0.0,0.009,0.005,0.0,0.0,0.0,0.0,0.078,0.0,0.003,0.083,0.088,0.061,0.0,0.291,0.64,,0.07,0.307,0.0,0.0,,0.65,0.0,21.46,0.0,0.0,0.04,0.0,0.0,0.0,0.67,0.12,0.0,
,Grape Passion Fruit,"Hybrid, Flower, Inhalable",2017-06-07,,533,,,,,,0.0,0.025,0.004,0.0,0.007,0.0,0.0,0.204,0.002,0.02,0.022,0.06,0.089,0.0,0.192,0.363,,0.173,0.78,0.0,0.0,,0.41,0.0,22.6,0.0,0.0,0.07,0.0,0.0,0.0,0.14,0.1,0.0,
,Faceoff OG - Batch 5,"Indica, Flower, Inhalable",2017-06-07,,533,,,,,,0.0,0.02,0.005,0.0,0.01,0.0,0.0,0.25,0.002,0.016,0.029,0.078,0.076,0.0,0.248,1.027,,0.15,0.773,0.0,0.0,,0.35,0.0,27.42,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.11,0.0,
,OZ Kush,"Concentrate, Inhalable",2017-06-08,,605,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051,0.0,0.0,0.2,0.098,0.0,0.0,0.188,0.017,,0.004,0.045,0.0,0.0,,89.42,0.0,,0.0,0.27,0.0,0.19,0.0,0.0,0.0,1.16,0.0,
,Abusive,"Indica, Flower, Inhalable",2017-06-08,,587,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176,0.0,0.013,0.0,0.081,0.048,0.0,0.297,0.399,,0.089,0.548,0.0,0.0,,0.52,0.0,27.04,0.0,0.0,0.06,0.0,0.0,0.0,1.31,0.07,0.0,
,Concrete Genetics - PKK Nightmare OG,"Concentrate, Inhalable",2017-06-08,,582,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.0,0.0,0.326,0.044,0.0,1.188,0.738,,0.125,0.864,0.0,0.0,,1.71,0.0,73.17,0.0,0.0,0.39,0.0,0.0,0.0,2.19,0.28,0.0,
,ROCCA - GELATO,"Flower, Inhalable",2017-06-08,,582,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153,0.072,0.0,0.0,0.152,0.066,0.0,0.444,0.052,,0.083,0.407,0.0,0.0,,0.27,0.0,16.5,0.0,0.0,0.04,0.0,0.0,0.0,0.46,0.11,0.0,
,CBHE0608,"Flower, Inhalable",2017-06-08,,147,,,,,,0.0,0.029,0.007,0.0,0.0,0.0,0.0,0.037,0.15,0.021,0.003,0.067,0.218,0.0,0.244,0.931,,0.22,0.992,0.0,0.0,,0.54,0.0,27.06,0.0,0.0,0.09,0.0,0.0,0.0,0.17,0.2,0.0,
,Nat. Blue Dream 608,"Concentrate, Inhalable",2017-06-08,,536,,,,,,0.0,0.002,0.011,0.006,0.028,0.0,0.0,0.153,0.0,0.026,0.165,0.191,0.166,0.0,0.426,0.063,,0.085,0.067,0.0,0.0,,21.92,0.0,5.17,0.07,0.31,0.04,0.06,0.0,0.0,0.0,0.18,0.4,
,Yoda OG,"Indica, Flower, Inhalable",2017-06-08,,68,,,,,,0.0,0.016,0.004,0.0,0.006,0.0,0.0,0.128,0.0,0.005,0.031,0.095,0.052,0.0,0.316,1.558,,0.107,0.483,0.0,0.0,,0.57,0.0,21.56,0.0,0.0,0.05,0.0,0.0,0.0,0.14,0.13,0.0,
,Sundance OG,"Indica, Flower, Inhalable",2017-06-08,,68,,,,,,0.0,0.015,0.003,0.0,0.003,0.061,0.0,0.081,0.0,0.003,0.066,0.052,0.047,0.0,0.178,0.522,,0.092,0.378,0.0,0.0,,0.44,0.01,20.94,0.0,0.0,0.05,0.0,0.0,0.0,0.73,0.13,0.0,
,Canndescent - Create 303,"Flower, Inhalable",2017-06-09,,465,,,,,,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.105,0.0,0.0,0.0,0.154,0.701,0.0,0.366,0.653,,0.216,0.385,0.0,0.0,,0.38,0.0,26.03,0.0,0.0,0.06,0.0,0.0,0.0,0.97,0.1,0.0,
,Orange Cream,"Flower, Inhalable",2017-06-09,,465,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.171,0.0,0.119,0.0,0.061,0.041,0.0,0.202,0.584,,0.079,0.408,0.0,0.0,,0.44,0.0,21.27,0.0,0.0,0.08,0.0,0.0,0.0,0.77,0.09,0.0,
,MS1,"Concentrate, Inhalable",2017-06-09,,606,,,,,,0.0,0.0,0.039,0.0,0.011,0.007,0.0,0.198,0.0,0.052,0.228,0.287,0.004,0.0,0.861,0.034,,0.013,0.077,0.0,0.0,,63.89,0.0,0.0,0.67,0.32,0.08,0.17,0.0,0.0,0.0,1.75,0.85,
,Blueberry Dream,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.007,0.024,0.003,0.0,0.0,0.0,0.047,0.0,0.0,0.075,0.113,0.386,0.0,0.307,0.926,,0.158,0.087,0.0,0.0,,7.74,0.0,10.22,0.0,0.11,0.08,0.0,0.0,0.0,0.16,0.07,0.09,
,Cracker Jack #2,"Flower, Inhalable",2017-06-12,,429,,,,,,0.05,0.0,0.007,0.005,0.0,0.0,0.0,0.011,0.201,1.362,0.011,0.195,0.066,0.041,0.566,0.169,,0.11,0.124,0.018,0.0,,0.68,0.0,20.37,0.0,0.0,0.06,0.0,0.0,0.0,0.82,0.15,0.0,
,Boss OG,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.023,0.005,0.0,0.005,0.0,0.0,0.339,0.0,0.009,0.033,0.101,0.075,0.0,0.326,0.628,,0.149,0.775,0.0,0.0,,0.79,0.0,23.38,0.0,0.0,0.05,0.0,0.0,0.0,0.54,0.09,0.0,
,Golden Lemon #1,"Flower, Inhalable",2017-06-12,,429,,,,,,0.019,0.003,0.01,0.003,0.0,0.0,0.004,0.035,0.073,0.312,0.026,0.115,0.146,0.011,0.336,0.481,,0.121,0.062,0.008,0.0,,0.57,0.0,19.62,0.0,0.0,0.04,0.0,0.0,0.0,0.83,0.07,0.0,
,Cherry Pie,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.007,0.025,0.0,0.0,0.008,0.0,0.122,0.0,0.008,0.049,0.203,0.026,0.0,0.515,0.248,,0.049,0.269,0.0,0.0,,0.63,0.0,19.79,0.0,0.0,0.04,0.0,0.0,0.0,0.5,0.11,0.0,
,Chem Dawg,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.006,0.015,0.0,0.0,0.011,0.0,0.037,0.0,0.003,0.069,0.112,0.128,0.0,0.361,0.936,,0.085,0.232,0.0,0.0,,1.02,0.0,18.14,0.0,0.0,0.06,0.0,0.0,0.0,0.35,0.06,,
,Cookie Pie,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.004,0.02,0.0,0.0,0.0,0.004,0.067,0.0,0.004,0.057,0.153,0.015,0.0,0.506,0.314,,0.027,0.167,0.0,0.0,,0.38,0.0,15.65,0.0,0.0,0.07,0.0,0.0,0.0,0.54,0.05,0.0,
,Pineapple Cheese,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.006,0.012,0.0,0.0,0.0,0.0,0.036,0.25,0.006,0.026,0.079,0.279,0.0,0.249,1.639,,0.091,0.194,0.0,0.0,,4.52,0.0,15.29,0.04,0.02,0.04,0.0,0.0,0.0,1.1,0.15,0.04,
,Sherb #2,"Flower, Inhalable",2017-06-12,,429,,,,,,0.0,0.007,0.011,0.0,0.009,0.0,0.0,0.198,0.0,0.008,0.032,0.122,0.025,0.0,0.293,0.193,,0.05,0.296,0.0,0.0,,0.65,0.0,19.0,0.0,0.0,0.04,0.0,0.0,0.0,0.34,0.16,,
,TLC - Sundae Driver #10,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.009,0.004,0.0,0.0,0.108,0.0,0.235,0.004,0.004,0.03,0.129,0.034,0.0,0.466,0.067,,0.057,0.379,0.0,0.0,,0.49,0.0,21.42,0.0,0.0,0.08,0.0,0.0,0.0,0.68,0.14,0.0,
,TLC - Sundae Driver #12,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.004,0.014,0.0,0.0,0.101,0.0,0.06,0.082,0.001,0.027,0.081,0.013,0.0,0.29,0.996,,0.034,0.109,0.0,0.0,,0.42,0.0,25.41,0.0,0.0,0.06,0.0,0.0,0.0,0.9,0.17,0.0,
,TLC - Sundae Driver #13,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.019,0.01,0.0,0.003,0.0,0.0,0.106,0.003,0.006,0.031,0.158,0.067,0.0,0.604,0.086,,0.117,0.635,0.0,0.0,,0.57,0.0,20.6,0.0,0.0,0.05,0.0,0.0,0.0,0.73,0.13,0.0,
,California Extracts-Dirty Roze,"Concentrate, Inhalable",2017-06-12,,582,,,,,,0.016,0.017,0.103,0.0,0.0,0.0,0.0,0.39,0.107,1.659,0.541,1.214,1.011,0.012,3.334,0.451,,0.807,0.534,0.027,0.0,,1.13,0.0,48.27,0.0,0.0,0.18,0.0,0.0,0.0,0.44,0.0,0.0,
,JUNGLE BOYS - SOUR APPLE FULL MELT,"Concentrate, Inhalable",2017-06-12,,582,,,,,,0.0,0.076,0.022,0.0,0.008,0.0,0.0,0.62,0.548,0.028,0.106,0.416,0.428,0.0,1.416,0.607,,0.453,2.717,0.006,0.0,,1.15,0.0,71.58,0.0,0.0,0.23,0.0,0.0,0.0,1.11,0.71,0.0,
,JUNGLE BOYS - PAPAYA x SOUR APPLE ROSIN,"Concentrate, Inhalable",2017-06-12,,582,,,,,,0.0,0.035,0.022,0.0,0.0,0.499,0.0,0.932,0.013,0.025,0.129,0.182,0.144,0.0,0.52,0.721,,0.252,1.955,0.007,0.0,,0.68,0.0,79.37,0.0,0.0,0.27,0.0,0.0,0.0,2.31,0.81,0.0,
,JUNGLE BOYS - SUNDAE DRIVER #8,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.019,0.004,0.0,0.004,0.134,0.0,0.18,0.005,0.011,0.026,0.102,0.071,0.0,0.356,0.082,,0.121,0.894,0.0,0.0,,0.7,0.0,27.45,0.0,0.0,0.1,0.0,0.0,0.0,0.99,0.2,0.0,
,JUNGLE BOYS - SUNDAE DRIVER #9,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.009,0.008,0.0,0.001,0.0,0.0,0.104,0.003,0.004,0.066,0.196,0.035,0.0,0.767,0.056,,0.059,0.367,0.0,0.0,,0.31,0.0,20.15,0.0,0.0,0.06,0.0,0.0,0.0,0.33,0.11,0.0,
,JUNGLE BOYS - PURPLE PUNCH,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.014,0.015,0.0,0.002,0.098,0.0,0.088,0.081,0.002,0.071,0.145,0.063,0.0,0.546,0.178,,0.087,0.379,0.0,0.0,,0.44,0.0,20.12,0.0,0.0,0.05,0.0,0.0,0.0,0.29,0.05,0.0,
,The Exotiks - Sundae Driver #20,"Flower, Inhalable",2017-06-12,,582,,,,,,0.0,0.012,0.008,0.0,0.001,0.089,0.0,0.055,0.0,0.004,0.027,0.08,0.043,0.0,0.295,0.125,,0.072,0.39,0.0,0.0,,0.28,0.0,23.4,0.0,0.0,0.06,0.0,0.0,0.0,0.8,0.17,0.0,
,Straw-Nana,"Concentrate, Inhalable",2017-06-13,,607,,,,,,0.0,0.03,0.033,0.0,0.0,0.0,0.0,0.01,0.152,0.013,0.02,0.172,0.326,0.0,0.635,0.213,,0.26,0.883,0.0,0.0,,3.56,0.0,74.52,0.0,0.0,0.24,0.0,0.0,0.0,1.67,0.7,0.0,
,Truth,"Flower, Inhalable",2017-06-13,,608,,,,,,0.0,0.007,0.002,0.0,0.006,0.135,0.0,0.03,0.001,0.005,0.013,0.018,0.187,0.0,0.065,1.043,,0.107,0.222,0.0,0.0,,1.28,0.0,16.22,0.0,0.0,0.05,0.0,0.0,0.0,0.14,0.02,0.03,
,Bud Lab OG2,"Flower, Inhalable",2017-06-13,,608,,,,,,0.026,0.001,0.003,0.003,0.002,0.003,0.0,0.003,0.182,0.5,0.008,0.057,0.053,0.017,0.207,0.263,,0.083,0.087,0.01,0.0,,1.3,0.0,16.49,0.0,0.0,0.04,0.0,0.0,0.0,1.28,0.11,0.05,
,Bud Lab OG5,"Flower, Inhalable",2017-06-13,,608,,,,,,0.0,0.005,0.003,0.0,0.001,0.002,0.0,0.002,0.001,0.005,0.025,0.047,0.018,0.0,0.172,0.721,,0.039,0.184,0.0,0.0,,0.54,0.0,17.21,0.0,0.0,0.06,0.0,0.0,0.0,0.28,0.17,0.0,
,Master Yoda/ Kush Collective,"Flower, Inhalable",2017-06-13,,582,,,,,,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.216,0.0,0.0,0.0,0.083,0.065,0.0,0.297,0.325,,0.128,0.553,0.0,0.0,,0.37,0.0,24.36,0.0,0.0,0.06,0.0,0.0,0.0,1.17,0.11,0.0,
,Nat. Sunset Sherbert 613,"Concentrate, Inhalable",2017-06-13,,536,,,,,,0.0,0.002,0.006,0.0,0.004,0.0,0.0,0.153,0.0,0.006,0.192,0.244,0.103,0.0,0.58,0.085,,0.085,0.311,0.0,0.0,,25.92,0.0,2.14,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.45,0.35,
,Nat. Berry White 613,"Concentrate, Inhalable",2017-06-13,,536,,,,,,0.0,0.011,0.005,0.0,0.003,0.0,0.0,0.054,0.075,0.004,0.101,0.168,0.125,0.0,0.462,0.049,,0.097,0.427,0.0,0.0,,22.81,0.0,4.45,0.12,0.31,0.0,0.0,0.0,0.0,0.0,0.26,0.38,
,Nat. Lemon Haze 613,"Concentrate, Inhalable",2017-06-13,,536,,,,,,0.024,0.006,0.0,0.005,0.003,0.0,0.0,0.046,0.0,0.415,0.101,0.145,0.06,0.0,0.332,0.112,,0.063,0.088,0.015,0.004,,22.19,0.0,4.08,0.13,0.33,0.0,0.0,0.0,0.0,0.0,0.38,0.5,
,Nat. GDP 612,"Concentrate, Inhalable",2017-06-13,,536,,,,,,0.0,0.0,0.015,0.0,0.042,0.0,0.0,0.421,0.0,0.003,0.176,0.293,0.16,0.0,0.702,0.043,,0.035,0.055,0.0,0.0,,24.62,0.0,2.64,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.43,0.31,
,Nat. GSC 612,"Concentrate, Inhalable",2017-06-13,,536,,,,,,0.0,0.0,0.014,0.0,0.053,0.001,0.0,0.484,0.0,0.006,0.191,0.335,0.157,0.0,0.808,0.042,,0.042,0.056,0.0,0.0,,24.82,0.0,2.78,0.19,0.25,0.0,0.0,0.0,0.0,0.09,0.54,0.45,
,Concentrate GE,"Concentrate, Inhalable",2017-06-13,,609,,,,,,0.0,0.003,0.129,0.0,0.006,0.058,0.0,0.083,0.0,0.011,0.201,0.294,0.03,0.0,0.873,0.057,,0.022,0.072,0.0,0.0,,,,,,,,,,,,,,
,CBUL0601,"Concentrate, Inhalable",2017-06-13,,147,,,,,,0.0,0.014,0.013,0.0,0.0,0.002,0.0,0.029,0.018,0.018,0.008,0.046,0.103,0.0,0.164,0.103,,0.094,0.274,0.0,0.0,,2.96,0.0,86.19,0.0,0.0,0.11,0.0,0.0,0.0,0.82,0.44,0.03,
,CBUT0601,"Concentrate, Inhalable",2017-06-13,,147,,,,,,0.0,0.01,0.018,0.0,0.0,0.001,0.0,0.077,0.105,0.039,0.011,0.127,0.095,0.0,0.443,0.483,,0.12,0.737,0.0,0.0,,3.75,0.0,82.78,0.0,0.0,0.17,0.0,0.0,0.0,1.08,0.72,0.0,
,YDK Jack,"Sativa, Flower, Inhalable",2017-06-13,,610,,,,,,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.035,0.126,1.011,0.0,0.085,0.058,0.03,0.264,0.122,,0.077,0.103,0.018,0.0,,0.82,0.0,17.92,0.0,0.0,0.05,0.0,0.0,0.0,0.61,0.11,0.0,
,XJ-13,"Sativa, Flower, Inhalable",2017-06-13,,610,,,,,,0.036,0.0,0.0,0.0,0.0,0.0,0.0,0.037,0.126,1.048,0.0,0.088,0.061,0.031,0.27,0.119,,0.087,0.109,0.016,0.0,,0.69,0.0,18.9,0.0,0.0,0.05,0.0,0.0,0.0,0.61,0.09,0.0,
,Beyond Blue Dream,"Sativa, Flower, Inhalable",2017-06-13,,610,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098,0.0,0.0,0.0,0.093,0.41,0.0,0.304,1.07,,0.184,0.138,0.0,0.0,,0.61,0.0,21.97,0.0,0.0,0.06,0.0,0.0,0.02,0.19,0.05,0.0,
,Gorilla Glue,"Hybrid, Flower, Inhalable",2017-06-13,,610,,,,,,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.228,0.026,0.0,0.813,0.169,,0.048,0.3,0.0,0.0,,1.03,0.0,17.08,0.0,0.0,0.04,0.0,0.0,0.0,0.38,0.04,,
,Vanilla O.G.,"Indica, Flower, Inhalable",2017-06-13,,610,,,,,,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.179,0.0,0.011,0.0,0.155,0.049,0.0,0.534,0.783,,0.104,0.625,0.0,0.0,,2.19,0.0,22.78,0.0,0.0,0.05,0.0,0.0,0.0,0.93,0.15,0.02,
,Mega Sutra,"Indica, Flower, Inhalable",2017-06-13,,610,,,,,,0.0,0.01,0.0,0.0,0.023,0.0,0.0,0.139,0.0,0.003,0.0,0.185,0.038,0.0,0.637,0.412,,0.087,0.462,0.0,0.0,,1.11,0.0,18.27,0.0,0.0,0.04,0.0,0.0,0.0,0.52,0.11,0.01,
,90210 O.G.,"Indica, Flower, Inhalable",2017-06-13,,610,,,,,,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.223,0.0,0.004,0.0,0.16,0.042,0.0,0.552,0.522,,0.087,0.528,0.0,0.0,,3.97,0.0,15.18,0.0,0.0,0.04,0.0,0.0,0.0,0.61,0.13,0.02,
,Lorax O.G.,"Indica, Flower, Inhalable",2017-06-13,,610,,,,,,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.159,0.0,0.004,0.0,0.186,0.052,0.0,0.631,0.665,,0.108,0.615,0.0,0.0,,0.29,0.0,22.12,0.0,0.0,0.05,0.08,0.0,0.0,0.65,0.11,0.0,
,SFV RS Oil by PMH,"Concentrate, Inhalable",2017-06-14,,352,,,,,,0.0,0.0,0.088,0.0,0.01,0.0,0.0,0.129,0.0,0.0,0.284,0.367,0.0,0.0,1.094,0.036,,0.005,0.064,0.0,0.0,,53.49,0.0,0.23,0.44,0.45,0.11,0.13,0.0,0.0,0.07,1.09,0.62,
,Diesel Cookies #2,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.008,0.004,0.0,0.001,0.003,0.0,0.092,0.001,0.007,0.031,0.132,0.027,0.0,0.36,0.527,,0.051,0.394,0.0,0.0,,0.28,0.0,26.26,0.0,0.0,0.07,0.0,0.0,0.0,0.46,0.08,0.0,
,Master Bubba #1,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.006,0.005,0.0,0.001,0.081,0.0,0.109,0.047,0.008,0.041,0.125,0.024,0.0,0.45,2.17,,0.056,0.275,0.0,0.0,,1.18,0.0,24.19,0.0,0.0,0.08,0.0,0.0,0.0,0.24,0.09,0.0,
,Master Bubba #2,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.005,0.005,0.0,0.0,0.08,0.0,0.091,0.041,0.006,0.044,0.114,0.022,0.0,0.407,1.952,,0.049,0.241,0.0,0.0,,0.94,0.0,23.35,0.0,0.0,0.08,0.0,0.0,0.0,0.23,0.09,,
,Blue Frost #1,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.01,0.01,0.0,0.0,0.004,0.0,0.058,0.0,0.005,0.033,0.107,0.349,0.0,0.308,0.945,,0.177,0.206,0.0,0.0,,0.64,0.0,22.99,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.11,0.0,
,Blue Frost #2,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.011,0.011,0.001,0.001,0.002,0.0,0.073,0.001,0.002,0.045,0.113,0.359,0.0,0.323,0.992,,0.188,0.218,0.001,0.0,,0.64,0.0,22.43,0.0,0.0,0.05,0.0,0.0,0.0,0.85,0.1,0.0,
,Cracker Jack #1,"Flower, Inhalable",2017-06-14,,429,,,,,,0.054,0.002,0.012,0.003,0.001,0.002,0.0,0.013,0.259,1.517,0.003,0.191,0.069,0.04,0.557,0.187,,0.12,0.143,0.021,0.002,,0.65,0.0,20.34,0.0,0.0,0.06,0.0,0.0,0.0,0.16,0.16,0.0,
,Cracker Jack #2,"Flower, Inhalable",2017-06-14,,429,,,,,,0.054,0.002,0.01,0.003,0.001,0.002,0.0,0.009,0.241,1.409,0.009,0.178,0.072,0.039,0.519,0.181,,0.117,0.133,0.02,0.002,,0.71,0.0,21.35,0.0,0.0,0.07,0.0,0.0,0.0,0.9,0.16,,
,Grand Daddy Cookies,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.004,0.01,0.0,0.0,0.005,0.0,0.153,0.213,0.001,0.047,0.152,0.252,0.0,0.428,1.167,,0.064,0.075,0.0,0.0,,3.8,0.0,11.79,0.0,0.01,0.03,0.0,0.0,0.0,0.1,0.1,0.04,
,Green Candy,"Flower, Inhalable",2017-06-14,,429,,,,,,0.0,0.004,0.007,0.0,0.001,0.002,0.0,0.047,0.17,0.003,0.059,0.085,0.094,0.0,0.229,0.399,,0.054,0.098,0.0,0.0,,1.07,0.0,18.9,0.0,,0.05,0.0,0.0,0.0,0.34,0.13,0.02,
,Space Glue,"Oil, Concentrate, Inhalable",2017-06-14,,611,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.101,0.012,0.0,0.0,0.026,0.0,,0.0,0.0,0.0,0.0,,76.71,0.0,0.0,0.28,1.02,0.0,0.24,0.0,0.0,0.0,1.33,2.32,
